2.685381;-58.223297;
2.701271;-58.625534;
2.717161;-59.162289;
2.733051;-59.711205;
2.748941;-59.816547;
2.764831;-59.715672;
2.780720;-59.331059;
2.796610;-59.355892;
2.812500;-59.020359;
2.828390;-58.874065;
2.844280;-59.211956;
2.860170;-59.174152;
2.876059;-58.737701;
2.891949;-58.698570;
2.907839;-58.821861;
2.923729;-58.818218;
2.939619;-59.289795;
2.955508;-59.225643;
2.971398;-59.093262;
2.987288;-59.877289;
3.000000;-60.198772;
3.019068;-61.475010;
3.072034;-61.370895;
3.125000;-60.746475;
3.177966;-61.071774;
3.230932;-61.195496;
3.283898;-61.585236;
3.336864;-62.032833;
3.389831;-62.090069;
3.442797;-62.813091;
3.495763;-62.955833;
3.548729;-63.490978;
3.601695;-63.999165;
3.654661;-64.500870;
3.707627;-64.429787;
3.760593;-64.482407;
3.813560;-65.276825;
3.866525;-66.175163;
3.919492;-67.221756;
3.972458;-67.931641;
4.025424;-67.488388;
4.078390;-67.146370;
4.131356;-66.807861;
4.184322;-66.094292;
4.237288;-66.852806;
4.290254;-67.249130;
4.343220;-67.625679;
4.396186;-68.426636;
4.449152;-68.456413;
4.502119;-67.739975;
4.555085;-66.451599;
4.608051;-65.585747;
4.661017;-66.102943;
4.713983;-66.928345;
4.766949;-66.869049;
4.819915;-66.655060;
4.872881;-66.905441;
4.925848;-67.339249;
4.978814;-68.029221;
5.031780;-67.892357;
5.084746;-67.523697;
5.137712;-67.568932;
5.190678;-67.649597;
5.243644;-68.501076;
5.296610;-68.596588;
5.349576;-68.303322;
5.402543;-68.083130;
5.455509;-67.583267;
5.508475;-67.963669;
5.561441;-67.902359;
5.614407;-67.311470;
5.667373;-66.762268;
5.720339;-66.812225;
5.773305;-66.617523;
5.826272;-66.735550;
5.879238;-67.150970;
5.932203;-67.085083;
5.985169;-67.361481;
6.038136;-67.498756;
6.091102;-67.469124;
6.144068;-67.534218;
6.197034;-67.754692;
6.250000;-68.081749;
6.302966;-68.181099;
6.355932;-67.999359;
6.408898;-68.671288;
6.461864;-69.821655;
6.514831;-69.685539;
6.567797;-69.152794;
6.620763;-69.124504;
6.673729;-68.685326;
6.726695;-68.430199;
6.779661;-68.872025;
6.832627;-69.199310;
6.885593;-69.332649;
6.938560;-69.665016;
6.991526;-69.547806;
7.044492;-69.085258;
7.097458;-69.481354;
7.150424;-70.600037;
7.203390;-70.771751;
7.256356;-70.439278;
7.309322;-70.664627;
7.362288;-70.346436;
7.415255;-70.246109;
7.468221;-70.721283;
7.521187;-71.227486;
7.574153;-72.330704;
7.627119;-73.377632;
7.680085;-73.301979;
7.733051;-72.111130;
7.786017;-72.279724;
7.838983;-73.014488;
7.891949;-72.600281;
7.944915;-72.495949;
7.997881;-72.271088;
8.050848;-72.164474;
8.103814;-72.201134;
8.156780;-72.291145;
8.209746;-72.697182;
8.262712;-73.204582;
8.315679;-73.156036;
8.368645;-72.771698;
8.421611;-72.692932;
8.474577;-72.275131;
8.527542;-71.078224;
8.580508;-70.728706;
8.633474;-71.794472;
8.686440;-72.715569;
8.739407;-72.687950;
8.792373;-72.921654;
8.845339;-72.611603;
8.898305;-72.597649;
8.951271;-73.159187;
9.004237;-73.497475;
9.057203;-74.222519;
9.110169;-74.101990;
9.163136;-73.728363;
9.216102;-73.825020;
9.269068;-74.129341;
9.322034;-74.047745;
9.375000;-74.196335;
9.427966;-74.212906;
9.480932;-73.977425;
9.533898;-73.625366;
9.586864;-74.030319;
9.639831;-74.524864;
9.692797;-74.354828;
9.745763;-73.774490;
9.798729;-72.742928;
9.851695;-72.439857;
9.904661;-72.397926;
9.957627;-72.530861;
10.000000;-73.104500;
10.010593;-73.978233;
10.169492;-74.132065;
10.328390;-74.011650;
10.487288;-74.055023;
10.646187;-74.082542;
10.805085;-74.335976;
10.963984;-74.621033;
11.122882;-75.037086;
11.281780;-75.247505;
11.440679;-75.046265;
11.599577;-75.635521;
11.758475;-76.690979;
11.917373;-76.489006;
12.076271;-75.398705;
12.235169;-75.630714;
12.394068;-76.218361;
12.552966;-76.265717;
12.711864;-76.454796;
12.870763;-76.418365;
13.029661;-76.000175;
13.188560;-75.702522;
13.347458;-76.060463;
13.506356;-76.062248;
13.665255;-75.553223;
13.824153;-75.954132;
13.983051;-76.660759;
14.141950;-77.988602;
14.300848;-78.777466;
14.459746;-78.665421;
14.618645;-78.377815;
14.777543;-77.436714;
14.936441;-77.029388;
15.095340;-78.043907;
15.254238;-77.614258;
15.413136;-76.330025;
15.572034;-76.262138;
15.730932;-76.491196;
15.889831;-76.673157;
16.048729;-77.737938;
16.207628;-78.512474;
16.366526;-77.545021;
16.525425;-77.123329;
16.684322;-77.826019;
